open,high,low,close,volume,openTime,closeTime
1731.25,1739.20,1725.00,1729.11,26662.626,2021-02-10 16:45:00,2021-02-10 16:59:59
1729.11,1734.75,1716.36,1725.22,29310.903,2021-02-10 17:00:00,2021-02-10 17:14:59
1725.40,1737.00,1722.50,1736.99,23836.929,2021-02-10 17:15:00,2021-02-10 17:29:59
1736.99,1751.64,1734.03,1745.35,34547.080,2021-02-10 17:30:00,2021-02-10 17:44:59
1745.34,1748.27,1738.46,1738.58,22023.762,2021-02-10 17:45:00,2021-02-10 17:59:59
1738.52,1742.77,1735.11,1735.65,18380.869,2021-02-10 18:00:00,2021-02-10 18:14:59
1735.66,1748.00,1729.10,1737.08,19831.652,2021-02-10 18:15:00,2021-02-10 18:29:59
1737.09,1739.87,1729.07,1730.77,19745.021,2021-02-10 18:30:00,2021-02-10 18:44:59
1730.58,1746.46,1730.26,1743.74,13625.715,2021-02-10 18:45:00,2021-02-10 18:59:59
1743.74,1749.50,1727.06,1733.68,26765.146,2021-02-10 19:00:00,2021-02-10 19:14:59
1733.97,1738.81,1721.21,1729.00,28375.755,2021-02-10 19:15:00,2021-02-10 19:29:59
1729.01,1749.31,1727.40,1747.21,25080.022,2021-02-10 19:30:00,2021-02-10 19:44:59
1746.95,1749.31,1741.78,1744.46,18526.030,2021-02-10 19:45:00,2021-02-10 19:59:59
1744.45,1746.94,1735.43,1738.80,13227.227,2021-02-10 20:00:00,2021-02-10 20:14:59
1738.80,1739.73,1728.03,1728.78,15755.458,2021-02-10 20:15:00,2021-02-10 20:29:59
1728.78,1730.87,1718.39,1718.85,16743.970,2021-02-10 20:30:00,2021-02-10 20:44:59
1718.89,1724.32,1707.56,1713.47,23946.885,2021-02-10 20:45:00,2021-02-10 20:59:59
1713.46,1724.31,1711.12,1717.53,31028.421,2021-02-10 21:00:00,2021-02-10 21:14:59
1717.54,1720.61,1706.51,1715.70,23531.203,2021-02-10 21:15:00,2021-02-10 21:29:59
1716.01,1724.67,1714.19,1722.33,17351.330,2021-02-10 21:30:00,2021-02-10 21:44:59
1722.30,1730.29,1721.52,1729.62,14069.599,2021-02-10 21:45:00,2021-02-10 21:59:59
1729.62,1737.91,1725.21,1736.94,11748.657,2021-02-10 22:00:00,2021-02-10 22:14:59
1736.93,1746.60,1734.90,1746.49,12552.485,2021-02-10 22:15:00,2021-02-10 22:29:59
1746.40,1750.00,1739.01,1748.29,14685.090,2021-02-10 22:30:00,2021-02-10 22:44:59
1748.28,1752.99,1741.81,1751.52,16355.882,2021-02-10 22:45:00,2021-02-10 22:59:59
